review_id,user_id,review_eval,created_at,updated_at
1,2,5,2019/11/30 16:57:00,2019/11/30 16:57:00
1,3,4.2,2019/11/30 16:57:00,2019/11/30 16:57:00
1,4,2.9,2019/11/30 16:57:00,2019/11/30 16:57:00
1,5,2.3,2019/11/30 16:57:00,2019/11/30 16:57:00
1,6,3.4,2019/11/30 16:57:00,2019/11/30 16:57:00
1,7,4.7,2019/11/30 16:57:00,2019/11/30 16:57:00
1,8,1.4,2019/11/30 16:57:00,2019/11/30 16:57:00
1,9,0.2,2019/11/30 16:57:00,2019/11/30 16:57:00
1,10,4.8,2019/11/30 16:57:00,2019/11/30 16:57:00
1,11,2.3,2019/11/30 16:57:00,2019/11/30 16:57:00
2,2,1.3,2019/11/30 16:57:00,2019/11/30 16:57:00
2,3,2.3,2019/11/30 16:57:00,2019/11/30 16:57:00
2,4,4.8,2019/11/30 16:57:00,2019/11/30 16:57:00
2,5,1.9,2019/11/30 16:57:00,2019/11/30 16:57:00
2,6,1.1,2019/11/30 16:57:00,2019/11/30 16:57:00
2,7,0.9,2019/11/30 16:57:00,2019/11/30 16:57:00
2,8,0.6,2019/11/30 16:57:00,2019/11/30 16:57:00
2,9,0,2019/11/30 16:57:00,2019/11/30 16:57:00
2,10,1.3,2019/11/30 16:57:00,2019/11/30 16:57:00
2,11,4.1,2019/11/30 16:57:00,2019/11/30 16:57:00
3,2,1.8,2019/11/30 16:57:00,2019/11/30 16:57:00
3,3,0.2,2019/11/30 16:57:00,2019/11/30 16:57:00
3,4,0.4,2019/11/30 16:57:00,2019/11/30 16:57:00
3,5,3.6,2019/11/30 16:57:00,2019/11/30 16:57:00
3,6,3.4,2019/11/30 16:57:00,2019/11/30 16:57:00
3,7,3.1,2019/11/30 16:57:00,2019/11/30 16:57:00
3,8,0.4,2019/11/30 16:57:00,2019/11/30 16:57:00
3,9,1.7,2019/11/30 16:57:00,2019/11/30 16:57:00
3,10,0.3,2019/11/30 16:57:00,2019/11/30 16:57:00
3,11,0.5,2019/11/30 16:57:00,2019/11/30 16:57:00
4,2,1.9,2019/11/30 16:57:00,2019/11/30 16:57:00
4,3,2.8,2019/11/30 16:57:00,2019/11/30 16:57:00
4,4,4.3,2019/11/30 16:57:00,2019/11/30 16:57:00
4,5,1.4,2019/11/30 16:57:00,2019/11/30 16:57:00
4,6,0.5,2019/11/30 16:57:00,2019/11/30 16:57:00
4,7,4.6,2019/11/30 16:57:00,2019/11/30 16:57:00
4,8,3.7,2019/11/30 16:57:00,2019/11/30 16:57:00
4,9,0.9,2019/11/30 16:57:00,2019/11/30 16:57:00
4,10,1.7,2019/11/30 16:57:00,2019/11/30 16:57:00
4,11,4.6,2019/11/30 16:57:00,2019/11/30 16:57:00
5,2,4.9,2019/11/30 16:57:00,2019/11/30 16:57:00
5,3,1.1,2019/11/30 16:57:00,2019/11/30 16:57:00
5,4,1.8,2019/11/30 16:57:00,2019/11/30 16:57:00
5,5,0.2,2019/11/30 16:57:00,2019/11/30 16:57:00
5,6,0.7,2019/11/30 16:57:00,2019/11/30 16:57:00
5,7,3.4,2019/11/30 16:57:00,2019/11/30 16:57:00
5,8,2.8,2019/11/30 16:57:00,2019/11/30 16:57:00
5,9,2.3,2019/11/30 16:57:00,2019/11/30 16:57:00
5,10,0.4,2019/11/30 16:57:00,2019/11/30 16:57:00
5,11,2.6,2019/11/30 16:57:00,2019/11/30 16:57:00
6,2,4.6,2019/11/30 16:57:00,2019/11/30 16:57:00
6,3,3,2019/11/30 16:57:00,2019/11/30 16:57:00
6,4,3,2019/11/30 16:57:00,2019/11/30 16:57:00
6,5,3,2019/11/30 16:57:00,2019/11/30 16:57:00
6,6,1.8,2019/11/30 16:57:00,2019/11/30 16:57:00
6,7,1.8,2019/11/30 16:57:00,2019/11/30 16:57:00
6,8,3.4,2019/11/30 16:57:00,2019/11/30 16:57:00
6,9,2.5,2019/11/30 16:57:00,2019/11/30 16:57:00
6,10,0.2,2019/11/30 16:57:00,2019/11/30 16:57:00
6,11,0.9,2019/11/30 16:57:00,2019/11/30 16:57:00
7,2,2.5,2019/11/30 16:57:00,2019/11/30 16:57:00
7,3,4.4,2019/11/30 16:57:00,2019/11/30 16:57:00
7,4,4.4,2019/11/30 16:57:00,2019/11/30 16:57:00
7,5,1.8,2019/11/30 16:57:00,2019/11/30 16:57:00
7,6,2.4,2019/11/30 16:57:00,2019/11/30 16:57:00
7,7,2.8,2019/11/30 16:57:00,2019/11/30 16:57:00
7,8,1.1,2019/11/30 16:57:00,2019/11/30 16:57:00
7,9,3.1,2019/11/30 16:57:00,2019/11/30 16:57:00
7,10,0.3,2019/11/30 16:57:00,2019/11/30 16:57:00
7,11,1.7,2019/11/30 16:57:00,2019/11/30 16:57:00
8,2,3.3,2019/11/30 16:57:00,2019/11/30 16:57:00
8,3,2.1,2019/11/30 16:57:00,2019/11/30 16:57:00
8,4,4.9,2019/11/30 16:57:00,2019/11/30 16:57:00
8,5,4.4,2019/11/30 16:57:00,2019/11/30 16:57:00
8,6,2.5,2019/11/30 16:57:00,2019/11/30 16:57:00
8,7,1.4,2019/11/30 16:57:00,2019/11/30 16:57:00
8,8,0.3,2019/11/30 16:57:00,2019/11/30 16:57:00
8,9,3.3,2019/11/30 16:57:00,2019/11/30 16:57:00
8,10,1.2,2019/11/30 16:57:00,2019/11/30 16:57:00
8,11,2.1,2019/11/30 16:57:00,2019/11/30 16:57:00
9,2,1.8,2019/11/30 16:57:00,2019/11/30 16:57:00
9,3,3.7,2019/11/30 16:57:00,2019/11/30 16:57:00
9,4,1,2019/11/30 16:57:00,2019/11/30 16:57:00
9,5,0.9,2019/11/30 16:57:00,2019/11/30 16:57:00
9,6,0.9,2019/11/30 16:57:00,2019/11/30 16:57:00
9,7,3.2,2019/11/30 16:57:00,2019/11/30 16:57:00
9,8,4.6,2019/11/30 16:57:00,2019/11/30 16:57:00
9,9,0.4,2019/11/30 16:57:00,2019/11/30 16:57:00
9,10,1.3,2019/11/30 16:57:00,2019/11/30 16:57:00
9,11,4.8,2019/11/30 16:57:00,2019/11/30 16:57:00
10,2,2.9,2019/11/30 16:57:00,2019/11/30 16:57:00
10,3,3.3,2019/11/30 16:57:00,2019/11/30 16:57:00
10,4,2,2019/11/30 16:57:00,2019/11/30 16:57:00
10,5,1.2,2019/11/30 16:57:00,2019/11/30 16:57:00
10,6,0.8,2019/11/30 16:57:00,2019/11/30 16:57:00
10,7,4.5,2019/11/30 16:57:00,2019/11/30 16:57:00
10,8,3.6,2019/11/30 16:57:00,2019/11/30 16:57:00
10,9,0.1,2019/11/30 16:57:00,2019/11/30 16:57:00
10,10,3.9,2019/11/30 16:57:00,2019/11/30 16:57:00
10,11,2.6,2019/11/30 16:57:00,2019/11/30 16:57:00
11,2,4,2019/11/30 16:57:00,2019/11/30 16:57:00
11,3,1.5,2019/11/30 16:57:00,2019/11/30 16:57:00
11,4,4.8,2019/11/30 16:57:00,2019/11/30 16:57:00
11,5,0.3,2019/11/30 16:57:00,2019/11/30 16:57:00
11,6,4.9,2019/11/30 16:57:00,2019/11/30 16:57:00
11,7,4.1,2019/11/30 16:57:00,2019/11/30 16:57:00
11,8,1.2,2019/11/30 16:57:00,2019/11/30 16:57:00
11,9,4.4,2019/11/30 16:57:00,2019/11/30 16:57:00
11,10,2.6,2019/11/30 16:57:00,2019/11/30 16:57:00
11,11,1.5,2019/11/30 16:57:00,2019/11/30 16:57:00
12,2,4.4,2019/11/30 16:57:00,2019/11/30 16:57:00
12,3,1.9,2019/11/30 16:57:00,2019/11/30 16:57:00
12,4,3.6,2019/11/30 16:57:00,2019/11/30 16:57:00
12,5,1.6,2019/11/30 16:57:00,2019/11/30 16:57:00
12,6,3.2,2019/11/30 16:57:00,2019/11/30 16:57:00
12,7,0.8,2019/11/30 16:57:00,2019/11/30 16:57:00
